Issue,Cause,Date,Priority,Fixed
Lack of payload when selecting drop down in Adv Setting Embed Models,Unknown - have not been able to duplicate,6/4/26,Low,
Error thrown out when chunk size is less than 1,Chunk size is not allowed to be less than 1 - is this really an issue?,6/4/26,Low,
List being put into rule system drop down menu,Rule system state and drop downs were not properly updated,6/4/26,Medium,6/5/26
Avatar for chatbots cannot be loaded,Gradio cannot resolve a tuple and its index,6/5/26,Low,
Some documents can't be deleted,Rifts-Ultimate Edition could not be deleted,6/5/26,Medium,
If it's the last rule system that is deleted then you get an error that the payload is no in the list of choices because something is tryig to force it to have a state,gradio.exceptions.Error: 'Value: <thing> is not in the list of choices: []',6/5/26,Low,
Unhasable error when trying to query database,Unknown need to duplicate,6/6/26,Medium,
tags was input as string when it should be None or List,Reason not know - checking type and outputing str to log while setting tags to None,6/6/26,Medium,6/6/26
Error 17 showing up at times,K for some reason is not being tracked properly - k_name_state was not rendered in Technomancer.py,6/7/26,Low,6/9/26
Threshold state not updating at runtime,Unknown - looks like it should work,6/8/26,Medium,6/8/26
<class 'pydantic_core._pydantic_core.ValidationError'> | 1 validation error for OllamaEmbeddings model_kwargs Extra inputs are not permitted [type=extra_forbidden | input_value={'prompt': 'search_document:'} | input_type=dict] For further information visit https://errors.pydantic.dev/2.13/v/extra_forbidden,prefixes are not implemented right now cannot be added - those options are set to False,6/9/26,High,6/12/26
Essentially froze (on the import) of Delta Green Keepers book,Unknown - had been running all nigth,6/17/26,Low,
