Task,Start,Finish
Create RAG pipeline,5/20/26,
Be able to read pdfs via langchain,5/20/26,
Be able to read txt files into langchain,5/20/26,
Be able to ingest pdfs to chromadb,5/20/26 
Be able to ingest txt files into chromadb,5/20/26, 
Be able to read tables properly,5/20/26, 
Save chat history to chromadb,5/20/26, 
Be able to reload chat history,5/20/26, 
Adjust chunks and overlap,5/20/26, 
Create custom UI, 5/20/26, 
Allow for user to upload pdfs directly in UI,5/20/26, 
Allow user to choose llm model in UI,5/20/26, 
Allow user to upload avatar,5/20/26, 
Create additional API,5/20/26, 
Dice roller,5/20/26, 
NPC generator,5/20/26,
Name Generator,5/20/26,
Initiative tracker,5/20/26,
